EXP,damping,stiffness,ShoulderPan,ShoulderLift,Elbow,Wrist1,Wrist2,Wrist3
0,0.0,0.0,0.3992373275862069,1.188639683908046,0.5051455172413792,0.6609842816091953,4.775508879310345,2.065756120689655
1,0.0,34.48275862068966,0.2285955813953488,0.22528637209302332,0.3675237209302326,0.23377404651162786,0.7755541860465115,0.06030813953488373
2,0.0,68.96551724137932,0.008737807486631017,0.04872262032085563,0.27827155080213906,0.16996668449197866,0.001028502673796791,0.0009237967914438496
3,0.0,103.44827586206898,0.006626079545454547,0.034052840909090915,0.07563170454545455,0.056599204545454564,0.01868789772727273,0.0009151136363636349
4,0.0,137.93103448275863,0.002602046511627909,0.029664325581395347,0.10289534883720934,0.06176679069767443,0.011733627906976744,0.000606511627906977
5,0.0,172.41379310344828,0.014243842592592594,0.016518194444444446,0.0893114351851852,0.04656240740740742,0.0017456018518518526,0.0005408333333333333
6,0.0,206.89655172413796,0.007310989010989013,0.03684664835164836,0.03864813186813187,0.0038333516483516497,0.004500934065934067,0.000766043956043957
7,0.0,241.37931034482762,0.018633233532934133,0.013332574850299391,0.04863215568862276,0.039338203592814376,0.007955868263473054,0.0007841317365269463
8,0.0,275.86206896551727,0.008642045454545456,0.01345981818181818,0.016974818181818178,0.04583645454545455,0.005281954545454546,0.0035965000000000016
9,0.0,310.3448275862069,0.002299212328767123,0.009407157534246577,0.006621130136986303,0.020086917808219185,0.0035278767123287664,0.0002028424657534247
10,0.0,344.82758620689657,0.008710217391304353,0.04358978260869566,0.012516086956521738,0.01883972826086957,0.0004361413043478263,0.0007619021739130433
11,0.0,379.3103448275862,0.027617712418300657,0.05652529411764707,0.009374901960784313,0.010001830065359476,0.00377078431372549,0.0020679084967320264
12,0.0,413.79310344827593,0.0074433673469387765,0.05191188775510205,0.0037457142857142854,0.022237704081632656,0.003557755102040816,0.0008964285714285708
13,0.0,448.2758620689656,0.01390674641148326,0.02210684210526316,0.033427894736842115,0.025002727272727277,0.0033279904306220097,0.0004876076555023922
14,0.0,482.75862068965523,0.011250295566502463,0.020623645320197045,0.0394985221674877,0.03035709359605912,0.003080344827586208,0.002763004926108374
15,0.0,517.2413793103449,0.005238201058201057,0.05789026455026456,0.041674338624338635,0.024803333333333344,0.0015037037037037035,0.0005835449735449733
16,0.0,551.7241379310345,0.005361764705882351,0.063288128342246,0.07490759358288773,0.03123213903743317,0.0013973796791443855,0.0018310695187165782
17,0.0,586.2068965517242,0.0024671111111111113,0.05832011111111112,0.07708283333333334,0.024794777777777784,0.00038872222222222227,0.0008167222222222222
18,0.0,620.6896551724138,0.02198062857142857,0.09553120000000001,0.12577525714285717,0.034702057142857144,0.0023890285714285708,0.0011391428571428577
19,0.0,655.1724137931035,0.012630416666666668,0.04564208333333334,0.09398035714285716,0.026551904761904763,0.0024179166666666676,0.0004608333333333331
