EXP, ShoulderPan_PE, ShoulderPan_VE, ShoulderLift_PE, \ShoulderLift_VE, Elbow_PE,             Elbow_VE, Wrist1_PE, Wrist1_VE, Wrist2_PE, Wrist2_VE, Wrist3_PE, Wrist3_VE
745, -0.0141, 0.0457, 0.0176, -0.0530, 0.0755, -0.2486, -0.0266, 0.0865, 0.0115, -0.0376, 0.0514, -0.1677
745, -0.0143, 0.0596, 0.0177, -0.0690, 0.0766, -0.3222, -0.0271, 0.1129, 0.0117, -0.0490, 0.0522, -0.2183
745, -0.0134, 0.0444, 0.0162, -0.0459, 0.0721, -0.2404, -0.0255, 0.0839, 0.0110, -0.0365, 0.0491, -0.1629
745, -0.0133, 0.0417, 0.0157, -0.0392, 0.0712, -0.2255, -0.0252, 0.0789, 0.0109, -0.0344, 0.0485, -0.1532
745, -0.0130, 0.0433, 0.0152, -0.0398, 0.0696, -0.2335, -0.0246, 0.0820, 0.0107, -0.0357, 0.0475, -0.1591
745, -0.0125, 0.0553, 0.0145, -0.0551, 0.0670, -0.2970, -0.0237, 0.1047, 0.0103, -0.0455, 0.0458, -0.2028
745, -0.0157, 0.0282, 0.0188, -0.0188, 0.0839, -0.1524, -0.0297, 0.0535, 0.0129, -0.0234, 0.0573, -0.1042
745, -0.0140, 0.0687, 0.0167, -0.0751, 0.0748, -0.3666, -0.0265, 0.1296, 0.0115, -0.0563, 0.0511, -0.2508
745, -0.0129, 0.0489, 0.0150, -0.0466, 0.0688, -0.2617, -0.0244, 0.0926, 0.0106, -0.0402, 0.0471, -0.1794
745, -0.0126, 0.0601, 0.0146, -0.0612, 0.0670, -0.3207, -0.0238, 0.1139, 0.0103, -0.0493, 0.0458, -0.2198
745, -0.0119, 0.0409, 0.0138, -0.0366, 0.0634, -0.2189, -0.0225, 0.0777, 0.0097, -0.0337, 0.0434, -0.1503
745, -0.0111, 0.0342, 0.0131, -0.0298, 0.0593, -0.1832, -0.0210, 0.0649, 0.0091, -0.0282, 0.0406, -0.1259
745, -0.0133, 0.0533, 0.0161, -0.0568, 0.0707, -0.2846, -0.0251, 0.1008, 0.0109, -0.0438, 0.0484, -0.1951
745, -0.0128, 0.0611, 0.0157, -0.0690, 0.0683, -0.3260, -0.0242, 0.1154, 0.0105, -0.0501, 0.0467, -0.2232
745, -0.0113, 0.0357, 0.0137, -0.0356, 0.0601, -0.1915, -0.0213, 0.0676, 0.0092, -0.0295, 0.0411, -0.1312
745, -0.0102, 0.0421, 0.0124, -0.0456, 0.0546, -0.2254, -0.0193, 0.0797, 0.0084, -0.0347, 0.0373, -0.1543
745, -0.0091, 0.0298, 0.0150, -0.0466, 0.0643, -0.2276, -0.0173, 0.0565, 0.0099, -0.0350, 0.0334, -0.1097
745, -0.0085, 0.0284, 0.0141, -0.0390, 0.0603, -0.1950, -0.0214, 0.0689, 0.0069, -0.0235, 0.0412, -0.1333
745, -0.0079, 0.0356, 0.0096, -0.0388, 0.0423, -0.1909, -0.0150, 0.0675, 0.0065, -0.0293, 0.0289, -0.1304
