EXP,damping,stiffness,ShoulderPan,ShoulderLift,Elbow,Wrist1,Wrist2,Wrist3
29,66.66666666666667,2500.0,0.05823136363636365,0.0012124545454545456,0.01785945454545455,0.06451809090909091,0.021605363636363638,0.07084509090909091
30,100.0,500.0,0.0023602836879432626,0.03207418439716312,0.011756595744680852,0.04477553191489362,0.013261276595744682,0.15248531914893618
31,100.0,722.2222222222222,0.09379309278350516,0.07040639175257733,0.010530721649484535,0.08734731958762887,0.04316505154639176,0.07636051546391755
32,100.0,944.4444444444445,0.03129532786885246,0.02059008196721312,0.0067615573770491814,0.05515008196721312,0.012260081967213118,0.10945016393442625
33,100.0,1166.6666666666667,0.01867939393939394,0.001888409090909091,0.014288030303030304,0.058251969696969705,0.022330909090909096,0.12324924242424246
34,100.0,1388.888888888889,0.04375491935483872,0.058684274193548394,0.007170967741935482,0.03800612903225807,0.02216104838709678,0.10079870967741937
35,100.0,1611.111111111111,0.06837933333333335,0.046861428571428575,0.006997809523809526,0.07150809523809526,0.012389428571428574,0.08958352380952381
36,100.0,1833.3333333333335,0.027511084337349397,0.04677584337349398,0.12806174698795184,0.0475282530120482,0.0053131927710843374,0.05225975903614459
37,100.0,2055.5555555555557,0.07737372881355933,0.09046135593220339,0.019778813559322032,0.04874025423728814,0.018008474576271184,0.09141593220338984
38,100.0,2277.777777777778,0.04319205607476635,0.07983,0.015255046728971966,0.061738504672897196,0.030177850467289727,0.07349794392523365
39,100.0,2500.0,0.019110000000000002,0.06024231292517007,0.005758979591836735,0.07216897959183674,0.013671632653061226,0.11720353741496602
40,133.33333333333334,500.0,0.008208608695652176,0.13324373913043477,0.03422730434782609,0.06464713043478261,0.04658521739130435,0.11394991304347826
41,133.33333333333334,722.2222222222222,0.03175129496402878,0.08760035971223024,0.015100431654676262,0.05713021582733814,0.018166834532374103,0.14580021582733815
42,133.33333333333334,944.4444444444445,0.028532888888888892,0.058572666666666676,0.005547333333333333,0.06275733333333335,0.017582740740740743,0.13341022222222224
43,133.33333333333334,1166.6666666666667,0.10911252100840338,0.051313865546218494,0.0047505882352941176,0.07671327731092437,0.034921764705882354,0.07076
44,133.33333333333334,1388.888888888889,0.11180520325203253,0.047878617886178865,0.00312959349593496,0.06402097560975611,0.010134959349593495,0.05008276422764228
45,133.33333333333334,1611.111111111111,0.005738661971830985,0.06970147887323944,0.017141197183098592,0.030787253521126764,0.0019013380281690145,0.1251420422535211
46,133.33333333333334,1833.3333333333335,0.006961360544217688,0.02568952380952381,0.011840680272108843,0.038281360544217685,0.01393265306122449,0.12182054421768708
47,133.33333333333334,2055.5555555555557,0.034397391304347824,0.03096335403726708,0.12726968944099382,0.05840850931677019,0.008759689440993791,0.07687310559006211
48,133.33333333333334,2277.777777777778,0.001672444444444445,0.03637474074074075,0.021392222222222222,0.08512303703703705,0.021248740740740745,0.1174068888888889
49,133.33333333333334,2500.0,0.029285223880597015,0.061989477611940305,0.008507014925373134,0.0654734328358209,0.010915522388059703,0.11532962686567164
50,166.66666666666669,500.0,0.0428759375,0.09462703125000002,0.02231265625,0.147599375,0.0065585156250000005,0.176704609375
51,166.66666666666669,722.2222222222222,0.01069115702479339,0.1224697520661157,0.009205123966942149,0.0769817355371901,0.028041239669421486,0.1370629752066116
52,166.66666666666669,944.4444444444445,0.04334884146341464,0.04386701219512196,0.1829162195121951,0.06149115853658538,0.001570731707317073,0.1015565243902439
53,166.66666666666669,1166.6666666666667,0.037388875502008034,0.05023212851405623,0.1126991967871486,0.05276060240963856,0.1052291967871486,0.051747991967871484
54,166.66666666666669,1388.888888888889,0.0831273076923077,0.08015028846153847,0.008339423076923078,0.08124932692307694,0.001943269230769231,0.09988759615384615
55,166.66666666666669,1611.111111111111,0.09762018867924528,0.0642183962264151,0.002808207547169812,0.07298047169811323,0.0019096226415094338,0.07694415094339623
56,166.66666666666669,1833.3333333333335,0.039591585903083704,0.02733458149779736,0.11649938325991191,0.049936960352422906,0.09106092511013217,0.05691185022026432
57,166.66666666666669,2055.5555555555557,0.04710683760683762,0.033357435897435894,0.012096581196581198,0.08384136752136753,0.016957692307692306,0.0998491452991453
58,166.66666666666669,2277.777777777778,0.06228838297872341,0.028928893617021275,0.10065195744680852,0.060237787234042564,0.09429957446808511,0.051733659574468085
59,166.66666666666669,2500.0,0.005697767857142857,0.10441660714285717,0.008668214285714286,0.06766375,0.043037232142857144,0.08926035714285713
60,200.0,500.0,0.08629132812500001,0.12452359375000001,0.007672578124999999,0.12370734375000002,0.031938203124999995,0.174477265625
61,200.0,722.2222222222222,0.04635653594771243,0.06522209150326796,0.1888307843137255,0.08681300653594773,0.01913993464052288,0.10143895424836602
62,200.0,944.4444444444445,0.015826338028169015,0.09072021126760565,0.0026307746478873243,0.07464112676056339,0.017545140845070424,0.15606190140845072
63,200.0,1166.6666666666667,0.06655380530973452,0.007819203539823008,0.011034159292035398,0.06173991150442479,0.02520070796460177,0.11757159292035399
64,200.0,1388.888888888889,0.007806766467065868,0.0328962874251497,0.18060329341317366,0.07270934131736527,0.017365029940119764,0.10476994011976051
65,200.0,1611.111111111111,0.014208854961832062,0.06350274809160306,0.0029247328244274813,0.04831748091603053,0.12988816793893132,0.0032004580152671758
66,200.0,1833.3333333333335,0.1121816260162602,0.05567455284552845,0.012716422764227645,0.07863325203252033,0.024353495934959352,0.05314764227642277
67,200.0,2055.5555555555557,0.047715822784810125,0.032599113924050634,0.13703816455696205,0.06059854430379748,0.01344246835443038,0.08302259493670887
68,200.0,2277.777777777778,0.11374566666666668,0.07879475000000002,0.014991583333333332,0.05797416666666666,0.014176500000000002,0.06287391666666667
69,200.0,2500.0,0.004668633540372671,0.02272975155279503,0.137272298136646,0.06127248447204969,0.011290372670807455,0.09345167701863355
70,233.33333333333334,500.0,0.05043609375000001,0.12971859375,0.004767734375000001,0.074909609375,0.06248382812500001,0.1867303125
71,233.33333333333334,722.2222222222222,0.07875165217391304,0.03186373913043478,0.023125565217391307,0.08323208695652173,0.011839565217391303,0.14402521739130436
72,233.33333333333334,944.4444444444445,0.011426724137931036,0.02188137931034483,0.2045975862068966,0.08745620689655172,0.039028793103448284,0.11842183908045978
73,233.33333333333334,1166.6666666666667,0.05114539568345325,0.10625172661870504,0.009068489208633094,0.06284309352517986,0.02653359712230216,0.1480148201438849
74,233.33333333333334,1388.888888888889,0.007071496062992126,0.12847228346456696,0.03716204724409449,0.017084960629921264,0.020735433070866144,0.05311779527559056
75,233.33333333333334,1611.111111111111,0.03743841176470589,0.011963588235294118,0.17327829411764706,0.07839717647058823,0.013738764705882353,0.0935904117647059
76,233.33333333333334,1833.3333333333335,0.0672342718446602,0.06371300970873786,0.01854019417475728,0.08384106796116506,0.022095339805825242,0.0936792233009709
77,233.33333333333334,2055.5555555555557,0.06472894308943092,0.08137439024390244,0.002676910569105691,0.07434130081300815,0.017697398373983743,0.11554357723577237
78,233.33333333333334,2277.777777777778,0.06115656441717792,0.059968404907975455,0.14796325153374235,0.05032073619631903,0.003495214723926381,0.07551055214723926
79,233.33333333333334,2500.0,0.05039380281690141,0.08806971830985916,0.020977464788732397,0.03963147887323944,0.02875028169014085,0.13175035211267605
80,266.6666666666667,500.0,0.12292452173913046,0.0722228695652174,0.028520260869565217,0.17222347826086956,0.01574991304347826,0.14878878260869566
81,266.6666666666667,722.2222222222222,0.011365776397515528,0.051338136645962734,0.21600950310559006,0.08584118012422359,0.018228260869565215,0.14105888198757766
82,266.6666666666667,944.4444444444445,0.1480679365079365,0.05689555555555555,0.007563492063492064,0.06867230158730159,0.03270888888888889,0.07623238095238095
83,266.6666666666667,1166.6666666666667,0.024569827586206898,0.011774137931034484,0.1906430459770115,0.05662735632183907,0.13576442528735633,0.025436206896551725
84,266.6666666666667,1388.888888888889,0.07350358333333333,0.12607833333333335,0.011089916666666668,0.07739608333333334,0.01194,0.13247141666666667
85,266.6666666666667,1611.111111111111,0.07704098214285715,0.04205017857142858,0.016104285714285713,0.06171196428571429,0.013943125,0.11503026785714286
86,266.6666666666667,1833.3333333333335,0.0036372670807453423,0.0323724844720497,0.16295857142857142,0.052122360248447214,0.004132049689440994,0.12679726708074535
87,266.6666666666667,2055.5555555555557,0.021651511627906975,0.0023053488372093032,0.16487383720930235,0.06491860465116281,0.09865552325581396,0.035468953488372104
88,266.6666666666667,2277.777777777778,0.045760060975609765,0.05860085365853659,0.15802189024390242,0.046143475609756096,0.023871951219512202,0.06143432926829269
89,266.6666666666667,2500.0,0.061685959595959586,0.08567111111111113,0.011216868686868688,0.06287121212121213,0.026521414141414137,0.08925929292929292
90,300.0,500.0,0.007529366197183099,0.13827838028169015,0.03677619718309859,0.1727535915492958,0.2273404929577465,0.006879788732394366
91,300.0,722.2222222222222,0.035267804878048786,0.08675536585365853,0.028262276422764233,0.13831471544715446,0.18502747967479677,0.014069024390243903
92,300.0,944.4444444444445,0.09867524999999999,0.09300975,0.004174250000000001,0.10644241666666668,0.03418575,0.15748625
93,300.0,1166.6666666666667,0.08332474074074073,0.1135391111111111,0.003773259259259259,0.06664162962962963,0.026563111111111114,0.15657925925925928
94,300.0,1388.888888888889,0.045543354037267086,0.059584347826086945,0.1771134782608696,0.051081118012422363,0.005607329192546585,0.0791301242236025
95,300.0,1611.111111111111,0.0376468125,0.054044999999999996,0.1695125625,0.036917250000000006,0.0033374375000000006,0.08652062500000002
96,300.0,1833.3333333333335,0.061173868613138685,0.13080240875912413,0.025566569343065698,0.050962116788321174,0.026411751824817517,0.15162211678832116
97,300.0,2055.5555555555557,0.048936406926406925,0.033356017316017325,0.12384116883116886,0.04979930735930736,0.11168038961038962,0.022200389610389615
98,300.0,2277.777777777778,0.008361506024096386,0.04646355421686748,0.1580359638554217,0.03813246987951807,0.022917349397590363,0.03732114457831326
99,300.0,2500.0,0.07554718309859156,0.036798591549295774,0.011393380281690142,0.08865183098591549,0.039382957746478875,0.09873323943661974
