EXP, ShoulderPan_PE, ShoulderPan_VE, ShoulderLift_PE, \ShoulderLift_VE, Elbow_PE,             Elbow_VE, Wrist1_PE, Wrist1_VE, Wrist2_PE, Wrist2_VE, Wrist3_PE, Wrist3_VE
0, -0.0105, -1.5406, 0.0068, 0.3021, -0.0280, -1.0992, 0.0039, -0.1803, -0.0048, 0.0971, 0.0351, -0.0182
0, -0.0105, -1.5406, 0.0068, 0.3021, -0.0280, -1.0992, 0.0039, -0.1803, -0.0048, 0.0971, 0.0351, -0.0182
0, -0.0105, -1.5406, 0.0068, 0.3021, -0.0280, -1.0992, 0.0039, -0.1803, -0.0048, 0.0971, 0.0351, -0.0182
0, -0.0105, -1.5406, 0.0068, 0.3021, -0.0280, -1.0992, 0.0039, -0.1803, -0.0048, 0.0971, 0.0351, -0.0182
0, -0.0209, 1.1898, 0.0100, 0.2027, -0.0442, 0.1070, 0.0076, 0.0002, -0.0080, -0.1137, 0.0601, -0.0121
0, -0.0138, -0.3237, 0.0076, 0.7899, -0.0319, -1.6928, 0.0057, -0.2992, -0.0060, -0.0043, 0.0443, -0.1120
0, -0.0160, -0.7608, 0.0068, 0.3081, -0.0324, -1.1044, 0.0057, -0.1532, -0.0059, 0.0313, 0.0445, 0.0786
0, -0.0128, -0.4365, 0.0077, 0.6494, -0.0310, -1.5095, 0.0062, -0.2298, -0.0064, -0.0051, 0.0458, 0.0183
0, -0.0140, -0.0711, 0.0075, 0.4785, -0.0360, -0.8846, 0.0073, -0.1291, -0.0075, -0.0246, 0.0533, -0.0253
0, -0.0175, 0.8886, 0.0082, 0.3022, -0.0391, -0.3053, 0.0077, -0.0336, -0.0078, -0.1036, 0.0570, -0.0280
0, -0.0216, -0.1838, 0.0089, -0.0886, -0.0374, -0.1132, 0.0060, -0.0105, -0.0062, 0.0147, 0.0491, -0.0324
0, -0.0178, -0.4092, 0.0085, 0.5136, -0.0358, -1.0305, 0.0075, -0.1423, -0.0072, 0.0073, 0.0540, -0.0298
0, -0.0211, 0.6890, 0.0088, 0.4505, -0.0463, -0.3420, 0.0088, -0.0436, -0.0090, -0.0779, 0.0666, -0.0750
0, -0.0236, 0.4965, 0.0088, 0.1912, -0.0450, -0.3365, 0.0075, -0.0164, -0.0078, -0.0701, 0.0602, 0.0350
0, -0.0133, -0.1230, 0.0065, 0.2812, -0.0268, -0.7963, 0.0063, -0.0976, -0.0059, -0.0066, 0.0434, -0.0670
0, -0.0137, 0.7685, 0.0065, 0.4938, -0.0287, -0.3114, 0.0069, -0.0205, -0.0064, -0.0854, 0.0471, -0.0733
0, -0.0212, 0.5258, 0.0072, 0.4005, -0.0385, -0.2532, 0.0063, -0.0162, -0.0065, -0.0631, 0.0510, -0.0340
0, -0.0188, 0.2706, 0.0063, 0.2942, -0.0363, -0.3868, 0.0071, -0.0496, -0.0069, -0.0297, 0.0531, -0.0979
0, -0.0242, 0.2152, 0.0084, -0.0092, -0.0425, -0.0606, 0.0063, 0.0034, -0.0067, -0.0224, 0.0537, -0.0060
0, -0.0219, -0.0917, 0.0085, -0.0174, -0.0384, -0.1921, 0.0067, -0.0277, -0.0066, 0.0125, 0.0524, -0.0674
0, -0.0093, 0.0334, 0.0047, -0.0286, -0.0229, -0.2495, 0.0052, -0.0357, -0.0050, -0.0027, 0.0551, -0.0903
0, -0.0112, 0.1987, 0.0053, -0.0037, -0.0238, -0.2038, 0.0046, -0.0174, -0.0046, -0.0218, 0.0345, -0.0145
0, -0.0069, 0.3831, 0.0035, 0.0985, -0.0169, -0.1437, 0.0053, -0.0017, -0.0047, -0.0389, 0.0332, -0.0358
0, -0.0144, 0.0548, 0.0060, 0.2036, -0.0264, -0.4748, 0.0043, -0.0466, -0.0045, -0.0218, 0.0349, 0.0040
