joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,prev_a_0,prev_a_1,prev_a_2,prev_a_3,prev_a_4,prev_a_5,prev_a_6,target_obs_pos_0,target_obs_pos_1,target_obs_pos_2,target_width,current_tcp_0,current_tcp_1,current_tcp_2,current_tcp_3,current_tcp_4,current_tcp_5,current_tcp_6,goal_pos_0,goal_pos_1,goal_pos_2,action_0,action_1,action_2,action_3,action_4,action_5,action_6
-0.19601422548294067, 0.35824161767959595, -0.2994149327278137, -0.17267830669879913, -0.12908166646957397, 0.637798011302948, 0.03999999910593033, 0.03999999910593033, -0.06190891191363335, 0.15717770159244537, -0.1442074328660965, 0.027178693562746048, -0.08583333343267441, 0.23219312727451324, -0.04145749658346176, 0.10000000149011612, -0.09379953145980835, 0.01275731436908245, -0.05406881123781204, 0.10000000149011612, 0.10000000149011612, 0.7795519232749939, -0.0025272874627262354, 0.2549000084400177, 0.05971299856901169, 0.5468062162399292, 0.05944429337978363, 0.47575488686561584, 0.7634217739105225, 0.6427015662193298, -0.06312703341245651, 0.011699790135025978, 0.7478200197219849, -0.1724800020456314, 0.25494998693466187,-0.018037188798189163,0.047257378697395325,-0.04474850371479988,0.009908950887620449,-0.02433934435248375,0.06567249447107315,3.0874831676483154
-0.20191651582717896, 0.3738003373146057, -0.31373196840286255, -0.1698126345872879, -0.13720232248306274, 0.6599124073982239, 0.03999999910593033, 0.03999999910593033, -0.059136368334293365, 0.15346550941467285, -0.14754092693328857, 0.033548545092344284, -0.079811230301857, 0.211456298828125, -0.03881525993347168, 0.10000000149011612, -0.09248262643814087, 0.01691622845828533, -0.05275175720453262, 0.10000000149011612, 0.10000000149011612, 0.7805893421173096, -0.0021416018716990948, 0.2549000084400177, 0.05971299856901169, 0.5532112121582031, 0.056850068271160126, 0.47585201263427734, 0.756409227848053, 0.6511700749397278, -0.06070360913872719, 0.011731434613466263, 0.7478200197219849, -0.1724800020456314, 0.25494998693466187,-0.017074165865778923,0.04584027826786041,-0.044458258897066116,0.011056880466639996,-0.024004165083169937,0.05863622948527336,3.198302984237671
-0.2077963948249817, 0.38934141397476196, -0.32870179414749146, -0.16636522114276886, -0.1452389359474182, 0.6807379126548767, 0.03999999910593033, 0.03999999910593033, -0.05520936846733093, 0.151983380317688, -0.1444491147994995, 0.03612031415104866, -0.07945206016302109, 0.20101192593574524, -0.036074377596378326, 0.09451475739479065, -0.08949700742959976, 0.019817901775240898, -0.0486786887049675, 0.10000000149011612, 0.10000000149011612, 0.7814714908599854, -0.0016956309555098414, 0.2549000084400177, 0.05971299856901169, 0.5596182346343994, 0.054280832409858704, 0.4763556122779846, 0.7496961951255798, 0.6590936183929443, -0.05839577317237854, 0.011879092082381248, 0.7478200197219849, -0.1724800020456314, 0.25494998693466187,-0.016488835215568542,0.04415109008550644,-0.043928470462560654,0.011450785212218761,-0.023501727730035782,0.04996652156114578,3.3538429737091064
-0.21329337358474731, 0.40432125329971313, -0.34299927949905396, -0.16260690987110138, -0.1530703902244568, 0.6991295218467712, 0.03999999910593033, 0.03999999910593033, -0.0558728463947773, 0.14586766064167023, -0.15114088356494904, 0.03624813258647919, -0.07631807774305344, 0.1682538390159607, -0.034148331731557846, 0.09168055653572083, -0.08891651779413223, 0.02211376093327999, -0.048008330166339874, 0.10000000149011612, 0.10000000149011612, 0.7816286683082581, -0.0017070231260731816, 0.2549000084400177, 0.05971299856901169, 0.5657460689544678, 0.051808081567287445, 0.4764000475406647, 0.7436301112174988, 0.6661527752876282, -0.0558309368789196, 0.011733288876712322, 0.7478200197219849, -0.1724800020456314, 0.25494998693466187,-0.015730075538158417,0.042525772005319595,-0.04363153129816055,0.013078569434583187,-0.022583570331335068,0.044036220759153366,3.4491307735443115
-0.21864920854568481, 0.4184566140174866, -0.3577273488044739, -0.15872366726398468, -0.1606491208076477, 0.7147439122200012, 0.03999999910593033, 0.03999999910593033, -0.050259798765182495, 0.13770022988319397, -0.13408328592777252, 0.03992971032857895, -0.07231264561414719, 0.13859203457832336, -0.032977670431137085, 0.08830218017101288, -0.08785694092512131, 0.022901570424437523, -0.047003455460071564, 0.09993304312229156, 0.10000000149011612, 0.779050886631012, -0.002735614776611328, 0.2549000084400177, 0.05971299856901169, 0.5716401934623718, 0.04936928302049637, 0.4769957959651947, 0.7384687066078186, 0.6720438599586487, -0.05369158834218979, 0.011757086962461472, 0.7478200197219849, -0.1724800020456314, 0.25494998693466187,-0.01490727812051773,0.03908523917198181,-0.04199076443910599,0.013520992361009121,-0.019978735595941544,0.039431504905223846,3.500147819519043
-0.2235139012336731, 0.43155723810195923, -0.3707898259162903, -0.15448959171772003, -0.1674700379371643, 0.727891743183136, 0.03999999910593033, 0.03999999910593033, -0.04913296550512314, 0.12783539295196533, -0.1402135044336319, 0.0440560057759285, -0.06584424525499344, 0.12901900708675385, -0.031460151076316833, 0.08505154401063919, -0.0872630625963211, 0.026157138869166374, -0.045167140662670135, 0.08807244151830673, 0.10000000149011612, 0.7764889001846313, -0.0035812838468700647, 0.2549000084400177, 0.05971299856901169, 0.5769776105880737, 0.04707177355885506, 0.47711414098739624, 0.7340417504310608, 0.6770598292350769, -0.05140909180045128, 0.01139155589044094, 0.7478200197219849, -0.1724800020456314, 0.25494998693466187,-0.014727141708135605,0.037671156227588654,-0.04144597426056862,0.015927471220493317,-0.01819009706377983,0.034646790474653244,3.542037010192871
-0.22848635911941528, 0.44426923990249634, -0.3852127194404602, -0.14977426826953888, -0.17397397756576538, 0.7404945492744446, 0.03999999910593033, 0.03999999910593033, -0.04959064722061157, 0.1268528252840042, -0.13595609366893768, 0.04944243282079697, -0.060953330248594284, 0.11957670748233795, -0.02981455624103546, 0.07817047834396362, -0.08398152887821198, 0.027041984722018242, -0.03995747119188309, 0.07886300981044769, 0.10000000149011612, 0.7759219408035278, -0.003686362411826849, 0.2549000084400177, 0.05971299856901169, 0.582265317440033, 0.044610098004341125, 0.47802022099494934, 0.7297939658164978, 0.6817662715911865, -0.0497041791677475, 0.011181270703673363, 0.7478200197219849, -0.1724800020456314, 0.25494998693466187,-0.014738181605935097,0.03586399927735329,-0.04071221128106117,0.016868527978658676,-0.016760338097810745,0.028371483087539673,3.6500210762023926
-0.23330050706863403, 0.4566674828529358, -0.39831143617630005, -0.14441938698291779, -0.17975777387619019, 0.7513344883918762, 0.03999999910593033, 0.03999999910593033, -0.04820800572633743, 0.11834076792001724, -0.13896243274211884, 0.05394972488284111, -0.055342886596918106, 0.09395352005958557, -0.02945428341627121, 0.07534231245517731, -0.08289194852113724, 0.03185494244098663, -0.03638019412755966, 0.06929358094930649, 0.10000000149011612, 0.7701401710510254, -0.0055283731780946255, 0.2549000084400177, 0.05971299856901169, 0.587264895439148, 0.04203762114048004, 0.4780868887901306, 0.7259960770606995, 0.6859716176986694, -0.04763336479663849, 0.010180458426475525, 0.7478200197219849, -0.1724800020456314, 0.25494998693466187,-0.01466391235589981,0.03364000469446182,-0.03967205062508583,0.018453799188137054,-0.01485363021492958,0.024750586599111557,3.681483268737793
-0.23812466859817505, 0.4681153893470764, -0.4120243191719055, -0.13861806690692902, -0.18504434823989868, 0.7600778937339783, 0.03999999910593033, 0.03999999910593033, -0.04861939325928688, 0.11315881460905075, -0.12901319563388824, 0.06071476265788078, -0.04867371916770935, 0.08372984826564789, -0.029476363211870193, 0.07172799855470657, -0.08142442256212234, 0.03373705595731735, -0.03352067619562149, 0.056742966175079346, 0.10000000149011612, 0.7689712643623352, -0.005941960494965315, 0.2549000084400177, 0.05971299856901169, 0.5919846296310425, 0.03935077413916588, 0.4788353145122528, 0.7229129672050476, 0.6893348693847656, -0.046135373413562775, 0.009260500781238079, 0.7478200197219849, -0.1724800020456314, 0.25494998693466187,-0.01449974998831749,0.031020348891615868,-0.03829720988869667,0.0193675197660923,-0.01255863532423973,0.021347587928175926,3.7143120765686035
-0.24292784929275513, 0.4789577126502991, -0.4248712658882141, -0.13234634697437286, -0.189738929271698, 0.7678895592689514, 0.03999999910593033, 0.03999999910593033, -0.04742314666509628, 0.1060427650809288, -0.12903596460819244, 0.06212080642580986, -0.04356549680233002, 0.07454880326986313, -0.02932782471179962, 0.06728000938892365, -0.07934410125017166, 0.03690759837627411, -0.02970726042985916, 0.049501173198223114, 0.10000000149011612, 0.7669982314109802, -0.0065930550917983055, 0.2549000084400177, 0.05971299856901169, 0.596354067325592, 0.03659258037805557, 0.47933229804039, 0.7201120853424072, 0.6923726797103882, -0.04467672109603882, 0.007914282381534576, 0.7478200197219849, -0.1724800020456314, 0.25494998693466187,-0.014434777200222015,0.029209421947598457,-0.03729325905442238,0.02046625316143036,-0.010974638164043427,0.017178669571876526,3.7474234104156494
